run_idx,fid_mean,fid_std,kid_mean_mean,kid_mean_std,kid_std_mean
2,207.57667083740233,0.665836453732884,0.19498760253190994,0.00139942579120234,0.008111186092719436
3,212.22159118652343,0.49533097176382895,0.19969618320465088,0.0012513508988831786,0.008025368396192788
4,225.4793258666992,1.0585977476691377,0.22231826186180115,0.0009862989120797494,0.009591183438897134
1,229.29901885986328,0.8631840833943261,0.21607802659273148,0.0011795435193068422,0.009414969710633159
9,236.52276611328125,0.776401685318809,0.23623803555965422,0.0015654885690748277,0.009879173990339041
10,240.95542907714844,0.9789328415103309,0.24418023973703384,0.001998656992789375,0.009420077223330737
6,245.56305236816405,0.9509689460543912,0.24338510632514954,0.0019658918299792086,0.010252566169947385
5,248.36072235107423,0.8963712344947834,0.24889103770256044,0.0013733357423423853,0.01014957157894969
11,269.8694732666016,1.0507162235748124,0.28174953162670135,0.002492384298348065,0.011765649355947972
12,282.758642578125,0.9974516529270038,0.3008201628923416,0.0020368544744997917,0.011486203875392675
8,291.9579376220703,1.4464773917253486,0.30385701060295106,0.0020516179031937845,0.01228507487103343
7,295.420556640625,1.2262950564643742,0.31192532181739807,0.002638395268333288,0.012808917090296745
