family,fid_mean,fid_std,kid_mean_mean,kid_mean_std,kid_std_mean
diffusion,67.46582794189453,0.7254207352189953,0.039848288521170616,0.001037070530182769,0.006627744715660811
dcgan,105.13635864257813,0.6580511897651574,0.08730238080024719,0.0016822846989679357,0.008797816792502999
vae,212.84898681640624,0.5868887599118089,0.2023018553853035,0.0012274981112652963,0.008348213229328393
